,Source,SS,ddof1,ddof2,MS,F,p-unc,p-GG-corr,np2,eps
0,question,104.53333333333335,1,44,104.53333333333335,66.8527131782946,2.2546778975245959e-10,2.2546778975245959e-10,0.6030769230769232,1.0
1,context,10.066666666666665,2,88,5.033333333333332,4.888888888888891,0.009697737297875195,0.01674688301261834,0.10000000000000003,0.7727027973476199
2,question * context,0.46666666666663836,2,88,0.23333333333331918,0.4645550527903186,0.6299468824248255,0.5947235217677524,0.010447761194029221,0.8316145546594318
