,Source,SS,ddof1,ddof2,MS,F,p-unc,p-GG-corr,np2,eps
0,question,326.00370370370365,9,396,36.22263374485596,16.429073200529402,5.593945495271928e-23,1.2793159585432672e-16,0.2718736583301673,0.6927187817013202
1,context,0.8903703703703694,2,88,0.4451851851851847,1.245947983414999,0.2926923167592968,0.2870640598802542,0.02753722794959902,0.7794280654609628
2,question * context,18.176296296296407,18,792,1.0097942386831338,4.852196735457009,1.931482281116037e-10,0.00023477083638067764,0.09932402347702977,0.29194703481343587
