,Source,SS,ddof1,ddof2,MS,F,p-unc,p-GG-corr,np2,eps
0,question,134.18333333333334,3,132,44.72777777777778,23.299394896079956,3.626488309418901e-12,1.0517609944017796e-10,0.346205117179101,0.8528947864303854
1,context,2.6037037037037027,2,88,1.3018518518518514,2.1934477379095045,0.1175929103710853,0.1291328913811965,0.047483958122255754,0.8015159456797075
2,question * context,10.833333333333341,6,264,1.805555555555557,6.412556053811688,2.5367382927209934e-06,0.0009616353616499282,0.12720156555773043,0.424215333093189
