,Source,SS,ddof1,ddof2,MS,F,p-unc,p-GG-corr,np2,eps
0,question,720.5995061728394,14,616,51.47139329805996,21.251866332402777,3.066860543269588e-44,2.5540628708965746e-29,0.32568978524143033,0.6430383903719656
1,context,2.0276543209876534,2,88,1.0138271604938267,1.3023269225224143,0.27708647855685253,0.2735223598025191,0.02874746201778329,0.7808042286971556
2,question * context,31.468641975308696,28,1232,1.123880070546739,3.748991838437442,2.589102751063756e-10,0.0004227728349355668,0.07851457578669845,0.27099778185056106
