,Source,SS,ddof1,ddof2,MS,F,p-unc,p-GG-corr,np2,eps
0,question,126.13888888888887,3,132,42.04629629629629,28.470219435736663,2.911174170104755e-14,4.062598506660659e-11,0.3928540531187818,0.7378216515416337
1,context,0.5148148148148145,2,88,0.25740740740740725,2.062036412677015,0.13329684060490882,0.1524454009769918,0.04476650563607104,0.6349036207844126
2,question * context,1.1000000000000063,6,264,0.18333333333333438,2.1933534743202587,0.0440104671027562,0.12961177095094162,0.04748201438848956,0.2645158954446155
