,Source,SS,ddof1,ddof2,MS,F,p-unc,p-GG-corr,np2,eps
0,question,37.03703703703704,1,44,37.03703703703704,23.07288935500787,1.8403349964444793e-05,1.8403349964444793e-05,0.34399724802201587,1.0
1,context,0.11851851851851886,2,88,0.05925925925925943,0.16187629340078236,0.850799103180047,0.8252440351267145,0.0036655211912944,0.8849225511508565
2,question * context,0.5629629629629578,2,88,0.2814814814814789,1.798816568047301,0.1715262126410864,0.17879296996999997,0.039276485788112936,0.8160060276965495
